Município;Componente Curricular;Etapa;Previstos;Avaliados;% Participação;Defasagem;Aprendizado intermediário;Aprendizado adequado;Acerto Total;H 56 (%);H 59 (%);H 60 (%);H 61 (%);H 62 (%);H 63 (%);H 64 (%);H 65 (%);H 66 (%);H 67 (%);H 68 (%)
SOLONOPOLE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;194;183;94%;5%;20%;74%;78%;80;69;86;77;84;76;71;61;93;60;94
TABULEIRO DO NORTE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;294;118;40%;22%;39%;39%;63%;87;54;69;67;52;64;52;48;82;34;73
TAMBORIL;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;23;2;9%;0%;50%;50%;80%;100;100;75;67;100;67;67;100;50;100;100
TARRAFAS;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;30;0;0%;0%;0%;0%;0%;;;;;;;;;;;
TAUA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;566;7;1%;0%;0%;100%;95%;100;100;100;100;100;100;100;0;100;100;93
TEJUCUOCA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;240;25;10%;4%;20%;76%;79%;80;61;78;81;72;92;79;72;92;56;92
TIANGUA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;1196;1041;87%;14%;32%;54%;69%;71;68;73;74;65;69;59;46;85;57;81
TRAIRI;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;660;0;0%;0%;0%;0%;0%;;;;;;;;;;;
UBAJARA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;487;410;84%;10%;34%;56%;70%;77;64;74;71;71;71;63;43;86;68;84
UMIRIM;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;267;172;64%;6%;29%;65%;74%;88;68;72;76;75;75;68;59;86;65;85
URUBURETAMA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;260;151;58%;28%;21%;51%;63%;59;61;61;63;68;66;57;41;75;62;74
URUOCA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;216;194;90%;8%;18%;74%;79%;82;82;84;76;83;80;65;71;91;76;86
VARJOTA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;246;12;5%;0%;8%;92%;88%;100;59;100;93;86;89;89;81;100;86;88
VICOSA DO CEARA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;784;100;13%;11%;17%;71%;74%;77;67;84;64;78;80;77;52;79;75;83
