Município,Componente Curricular,Etapa,Previstos,Avaliados,% Participação,Defasagem,Aprendizado intermediário,Aprendizado adequado,Acerto Total,H 01 (%),H 02 (%),H 03 (%),H 04 (%),H 06 (%),H 07 (%),H 08 (%),H 09 (%),H 10 (%),Ciclos,Ano,Componente,H 45 (%),H 46 (%),H 47 (%),H 49 (%),H 50 (%),H 51 (%),H 52 (%),H 05 (%),H 11 (%),H 48 (%),H 53 (%),H 54 (%),H 55 (%),H 56 (%),H 57 (%),H 58 (%),H 59 (%),H 61 (%),H 62 (%),H 12 (%),H 14 (%),H 17 (%),H 19 (%),H 20 (%),H 21 (%),H 22 (%),H 26 (%),H 29 (%),H 60 (%),H 63 (%),H 64 (%),H 65 (%),H 66 (%),H 67 (%),H 68 (%),H 69 (%),H 71 (%),H 76 (%),H 77 (%),H 23 (%),H 24 (%),H 25 (%),H 27 (%),H 28 (%),H 30 (%),H 31 (%),H 36 (%),H 38 (%),H 70 (%),H 72 (%),H 73 (%),H 74 (%),H 75 (%),H 78 (%),H 80 (%),H 81 (%),H 82 (%),H 83 (%),H 85 (%),H 32 (%),H 33 (%),H 34 (%),H 35 (%),H 37 (%),H 39 (%),H 40 (%),H 41 (%),H 42 (%),H 43 (%),H 44 (%),H 79 (%),H 84 (%),H 86 (%),H 87 (%),H 88 (%),H 90 (%),H 91 (%),H 92 (%),H 93 (%),H 13 (%),H 16 (%),H 18 (%),H 15 (%),H 89 (%),H 94 (%),H 95 (%),H 96 (%),H 97 (%),H 98 (%)
SANTA QUITERIA,LÍNGUA PORTUGUESA,ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO,457,330,72%,32%,17%,51%,53%,61.0,42.0,68.0,44.0,61.0,60.0,37.0,65.0,32.0,3,4,LPL,,,,,,,,59.0,48.0,,,,,,,,,,,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANTANA DO ACARAU,LÍNGUA PORTUGUESA,ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO,126,0,0%,0%,0%,0%,0%,,,,,,,,,,3,4,LPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANTANA DO CARIRI,LÍNGUA PORTUGUESA,ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO,184,0,0%,0%,0%,0%,0%,,,,,,,,,,3,4,LPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAO BENEDITO,LÍNGUA PORTUGUESA,ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO,604,328,54%,13%,21%,66%,60%,69.0,56.0,72.0,63.0,59.0,72.0,47.0,69.0,48.0,3,4,LPL,,,,,,,,47.0,48.0,,,,,,,,,,,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAO JOAO DO JAGUARIBE,LÍNGUA PORTUGUESA,ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO,63,60,95%,15%,15%,70%,61%,69.0,,71.0,55.0,71.0,80.0,43.0,68.0,42.0,3,4,LPL,,,,,,,,47.0,63.0,,,,,,,,,,,66.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SENADOR POMPEU,LÍNGUA PORTUGUESA,ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO,173,0,0%,0%,0%,0%,0%,,,,,,,,,,3,4,LPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOLONOPOLE,LÍNGUA PORTUGUESA,ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO,165,149,90%,11%,24%,64%,60%,64.0,68.0,76.0,55.0,62.0,71.0,43.0,70.0,39.0,3,4,LPL,,,,,,,,53.0,56.0,,,,,,,,,,,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TABULEIRO DO NORTE,LÍNGUA PORTUGUESA,ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO,341,297,87%,15%,19%,66%,61%,72.0,54.0,73.0,57.0,68.0,75.0,37.0,74.0,39.0,3,4,LPL,,,,,,,,59.0,47.0,,,,,,,,,,,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAMBORIL,LÍNGUA PORTUGUESA,ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO,37,3,8%,33%,0%,67%,52%,67.0,33.0,56.0,50.0,83.0,83.0,33.0,67.0,0.0,3,4,LPL,,,,,,,,33.0,,,,,,,,,,,,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAUA,LÍNGUA PORTUGUESA,ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO,581,12,2%,8%,25%,67%,58%,54.0,58.0,72.0,58.0,50.0,88.0,44.0,58.0,50.0,3,4,LPL,,,,,,,,42.0,,,,,,,,,,,,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEJUCUOCA,LÍNGUA PORTUGUESA,ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO,304,268,88%,13%,32%,54%,56%,61.0,59.0,69.0,62.0,62.0,72.0,33.0,62.0,31.0,3,4,LPL,,,,,,,,44.0,58.0,,,,,,,,,,,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIANGUA,LÍNGUA PORTUGUESA,ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO,1111,981,88%,10%,25%,65%,63%,66.0,71.0,75.0,65.0,69.0,72.0,49.0,67.0,42.0,3,4,LPL,,,,,,,,54.0,50.0,,,,,,,,,,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRAIRI,LÍNGUA PORTUGUESA,ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO,670,0,0%,0%,0%,0%,0%,,,,,,,,,,3,4,LPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UBAJARA,LÍNGUA PORTUGUESA,ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO,524,410,78%,9%,19%,72%,66%,75.0,71.0,75.0,62.0,72.0,73.0,52.0,74.0,45.0,3,4,LPL,,,,,,,,56.0,65.0,,,,,,,,,,,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMIRIM,LÍNGUA PORTUGUESA,ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO,278,0,0%,0%,0%,0%,0%,,,,,,,,,,3,4,LPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
URUBURETAMA,LÍNGUA PORTUGUESA,ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO,331,239,72%,21%,22%,57%,56%,63.0,56.0,68.0,57.0,60.0,69.0,39.0,66.0,37.0,3,4,LPL,,,,,,,,46.0,47.0,,,,,,,,,,,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
URUOCA,LÍNGUA PORTUGUESA,ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO,217,198,91%,12%,18%,71%,66%,72.0,66.0,76.0,62.0,72.0,73.0,49.0,81.0,48.0,3,4,LPL,,,,,,,,60.0,60.0,,,,,,,,,,,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VARJOTA,LÍNGUA PORTUGUESA,ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO,231,0,0%,0%,0%,0%,0%,,,,,,,,,,3,4,LPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VICOSA DO CEARA,LÍNGUA PORTUGUESA,ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO,946,807,85%,14%,18%,67%,62%,71.0,66.0,76.0,63.0,66.0,74.0,42.0,52.0,36.0,3,4,LPL,,,,,,,,55.0,62.0,,,,,,,,,,,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACARAPE,MATEMÁTICA,ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO,214,207,97%,6%,27%,67%,73%,68.0,76.0,58.0,85.0,76.0,69.0,76.0,81.0,,3,4,MT,,,,,,,,85.0,67.0,,,,,,,,,,,62.0,81.0,83.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.0,69.0,84.0,60.0,,,,,,
ACARAU,MATEMÁTICA,ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO,961,445,46%,32%,22%,46%,60%,62.0,73.0,42.0,75.0,49.0,74.0,56.0,68.0,,3,4,MT,,,,,,,,81.0,49.0,,,,,,,,,,,55.0,67.0,74.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,53.0,71.0,40.0,,,,,,
ACOPIARA,MATEMÁTICA,ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO,154,0,0%,0%,0%,0%,0%,,,,,,,,,,3,4,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALCANTARAS,MATEMÁTICA,ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO,178,143,80%,6%,6%,88%,85%,86.0,91.0,84.0,93.0,83.0,86.0,90.0,94.0,,3,4,MT,,,,,,,,91.0,78.0,,,,,,,,,,,81.0,89.0,91.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,75.0,91.0,66.0,,,,,,
ALTANEIRA,MATEMÁTICA,ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO,16,0,0%,0%,0%,0%,0%,,,,,,,,,,3,4,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALTO SANTO,MATEMÁTICA,ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO,66,0,0%,0%,0%,0%,0%,,,,,,,,,,3,4,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTONINA DO NORTE,MATEMÁTICA,ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO,87,0,0%,0%,0%,0%,0%,,,,,,,,,,3,4,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AQUIRAZ,MATEMÁTICA,ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO,1189,0,0%,0%,0%,0%,0%,,,,,,,,,,3,4,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARACATI,MATEMÁTICA,ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO,923,769,83%,30%,20%,50%,62%,65.0,72.0,37.0,79.0,60.0,65.0,68.0,69.0,,3,4,MT,,,,,,,,81.0,54.0,,,,,,,,,,,50.0,76.0,76.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.0,53.0,68.0,50.0,,,,,,
ARACOIABA,MATEMÁTICA,ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO,286,268,94%,28%,21%,51%,62%,60.0,65.0,44.0,68.0,57.0,70.0,63.0,71.0,,3,4,MT,,,,,,,,76.0,54.0,,,,,,,,,,,54.0,69.0,74.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.0,57.0,72.0,62.0,,,,,,
ARARENDA,MATEMÁTICA,ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO,169,161,95%,0%,1%,98%,86%,94.0,98.0,80.0,91.0,81.0,98.0,94.0,93.0,,3,4,MT,,,,,,,,98.0,90.0,,,,,,,,,,,94.0,24.0,96.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,94.0,90.0,20.0,,,,,,
ARARIPE,MATEMÁTICA,ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO,321,0,0%,0%,0%,0%,0%,,,,,,,,,,3,4,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARATUBA,MATEMÁTICA,ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO,203,191,94%,22%,22%,55%,65%,68.0,61.0,47.0,113.0,68.0,70.0,73.0,73.0,68.0,3,4,MT,,,,,,,,82.0,57.0,,,,,,,,,,,56.0,77.0,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.0,60.0,67.0,59.0,,,,,,
ARNEIROZ,MATEMÁTICA,ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO,15,0,0%,0%,0%,0%,0%,,,,,,,,,,3,4,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASSARE,MATEMÁTICA,ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO,200,0,0%,0%,0%,0%,0%,,,,,,,,,,3,4,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AURORA,MATEMÁTICA,ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO,249,0,0%,0%,0%,0%,0%,,,,,,,,,,3,4,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAIXIO,MATEMÁTICA,ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO,6,6,100%,17%,50%,33%,58%,17.0,83.0,83.0,100.0,58.0,50.0,92.0,0.0,25.0,3,4,MT,,,,,,,,100.0,,,,,,,,,,,,0.0,67.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,50.0,92.0,,,,,,
BARRO,MATEMÁTICA,ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO,215,0,0%,0%,0%,0%,0%,,,,,,,,,,3,4,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BARROQUINHA,MATEMÁTICA,ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO,341,228,67%,34%,15%,50%,59%,75.0,67.0,45.0,,46.0,68.0,54.0,63.0,29.0,3,4,MT,,,,,,,,79.0,57.0,,,,,,,,,,,50.0,75.0,71.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,60.0,63.0,,,,,,
BATURITE,MATEMÁTICA,ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO,466,19,4%,16%,21%,63%,68%,79.0,63.0,45.0,84.0,82.0,95.0,68.0,,71.0,3,4,MT,,,,,,,,84.0,68.0,,,,,,,,,,,47.0,21.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.0,74.0,63.0,74.0,,,,,,
BELA CRUZ,MATEMÁTICA,ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO,308,0,0%,0%,0%,0%,0%,,,,,,,,,,3,4,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOA VIAGEM,MATEMÁTICA,ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO,25,0,0%,0%,0%,0%,0%,,,,,,,,,,3,4,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BREJO SANTO,MATEMÁTICA,ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO,637,567,89%,19%,18%,61%,67%,74.0,70.0,48.0,128.0,69.0,78.0,73.0,70.0,61.0,3,4,MT,,,,,,,,77.0,64.0,,,,,,,,,,,55.0,60.0,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.0,60.0,69.0,73.0,,,,,,
CAMOCIM,MATEMÁTICA,ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO,929,662,71%,24%,19%,57%,67%,69.0,72.0,53.0,69.0,65.0,73.0,64.0,73.0,,3,4,MT,,,,,,,,80.0,62.0,,,,,,,,,,,63.0,77.0,77.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,59.0,73.0,51.0,,,,,,
CAMPOS SALES,MATEMÁTICA,ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO,37,0,0%,0%,0%,0%,0%,,,,,,,,,,3,4,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CANINDE,MATEMÁTICA,ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO,1011,0,0%,0%,0%,0%,0%,,,,,,,,,,3,4,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAPISTRANO,MATEMÁTICA,ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO,204,0,0%,0%,0%,0%,0%,,,,,,,,,,3,4,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARIRIACU,MATEMÁTICA,ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO,241,0,0%,0%,0%,0%,0%,,,,,,,,,,3,4,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARIUS,MATEMÁTICA,ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO,220,210,95%,23%,10%,59%,70%,84.0,80.0,53.0,,57.0,84.0,70.0,79.0,50.0,3,4,MT,,,,,,,,86.0,65.0,,,,,,,,,,,64.0,73.0,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.0,82.0,55.0,,,,,,
CARNAUBAL,MATEMÁTICA,ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO,278,249,90%,24%,18%,58%,64%,69.0,73.0,40.0,90.0,65.0,78.0,72.0,77.0,59.0,3,4,MT,,,,,,,,78.0,56.0,,,,,,,,,,,45.0,69.0,69.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.0,46.0,56.0,75.0,,,,,,
CASCAVEL,MATEMÁTICA,ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO,732,88,12%,16%,14%,70%,73%,59.0,74.0,68.0,84.0,80.0,82.0,80.0,75.0,84.0,3,4,MT,,,,,,,,84.0,67.0,,,,,,,,,,,71.0,79.0,77.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.0,62.0,79.0,46.0,,,,,,
CATARINA,MATEMÁTICA,ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO,82,0,0%,0%,0%,0%,0%,,,,,,,,,,3,4,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATUNDA,MATEMÁTICA,ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO,127,9,7%,22%,22%,56%,63%,56.0,89.0,44.0,44.0,56.0,89.0,100.0,67.0,,3,4,MT,,,,,,,,78.0,78.0,,,,,,,,,,,61.0,56.0,78.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,50.0,67.0,22.0,,,,,,
CAUCAIA,MATEMÁTICA,ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO,3129,0,0%,0%,0%,0%,0%,,,,,,,,,,3,4,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CEDRO,MATEMÁTICA,ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO,25,0,0%,0%,0%,0%,0%,,,,,,,,,,3,4,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHAVAL,MATEMÁTICA,ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO,212,175,83%,24%,26%,50%,64%,62.0,73.0,52.0,63.0,67.0,67.0,68.0,71.0,,3,4,MT,,,,,,,,80.0,57.0,,,,,,,,,,,54.0,53.0,77.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.0,55.0,75.0,69.0,,,,,,
CHORO,MATEMÁTICA,ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO,204,11,5%,9%,9%,82%,74%,82.0,82.0,9.0,,73.0,64.0,73.0,91.0,,3,4,MT,,,,,,,,100.0,77.0,,,,,,,,,,,82.0,82.0,91.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.0,77.0,73.0,9.0,,,,,,
CRATEUS,MATEMÁTICA,ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO,899,765,85%,30%,18%,53%,63%,62.0,71.0,37.0,69.0,62.0,73.0,64.0,71.0,56.0,3,4,MT,,,,,,,,81.0,55.0,,,,,,,,,,,53.0,71.0,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,59.0,72.0,51.0,,,,,,
CRATO,MATEMÁTICA,ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO,323,188,58%,28%,20%,52%,62%,68.0,60.0,52.0,116.0,61.0,81.0,66.0,65.0,44.0,3,4,MT,,,,,,,,76.0,57.0,,,,,,,,,,,56.0,62.0,83.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.0,52.0,59.0,57.0,,,,,,
CROATA,MATEMÁTICA,ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO,255,244,96%,13%,14%,70%,76%,80.0,78.0,61.0,104.0,77.0,85.0,83.0,84.0,66.0,3,4,MT,,,,,,,,86.0,74.0,,,,,,,,,,,67.0,83.0,87.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.0,70.0,82.0,57.0,,,,,,
ERERE,MATEMÁTICA,ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO,100,22,22%,18%,32%,50%,62%,45.0,73.0,27.0,73.0,64.0,82.0,50.0,75.0,,3,4,MT,,,,,,,,91.0,59.0,,,,,,,,,,,57.0,68.0,73.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.0,50.0,73.0,59.0,,,,,,
EUSEBIO,MATEMÁTICA,ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO,1141,1031,90%,22%,23%,54%,66%,65.0,77.0,47.0,77.0,56.0,77.0,67.0,74.0,50.0,3,4,MT,,,,,,,,83.0,59.0,,,,,,,,,,,59.0,72.0,77.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.0,58.0,76.0,53.0,,,,,,
FARIAS BRITO,MATEMÁTICA,ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO,18,0,0%,0%,0%,0%,0%,,,,,,,,,,3,4,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORQUILHA,MATEMÁTICA,ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO,320,289,90%,10%,6%,84%,83%,80.0,82.0,78.0,89.0,87.0,87.0,87.0,87.0,,3,4,MT,,,,,,,,89.0,79.0,,,,,,,,,,,79.0,87.0,88.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,79.0,87.0,74.0,,,,,,
FORTALEZA,MATEMÁTICA,ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO,19462,172,1%,36%,17%,47%,56%,69.0,55.0,43.0,203.0,60.0,68.0,60.0,69.0,39.0,3,4,MT,,,,,,,,77.0,58.0,,,,,,,,,,,43.0,53.0,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,51.0,65.0,53.0,,,,,,
